FileName,ResearchQuestion,Theme,Subject,Sentence,DominantTopic,TopicKeywords
A35,RQ3,Relationship with SWeBok,Software architecture,Sustainability applies to both a system and its wider contexts. System design involves at least two spheres: the sustainability of the system itself and how it affects the sustainability of the wider system of which it will be part.,0,"systems, data, security, system, privacy, users, development, computing"
A35,RQ3,Relationship with SWeBok,Software Quality,Sustainability requires action on multiple levels. Some interventions have more leverage on a system than others.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A36,RQ1,Principles and Values,User focus,Living Models provides a coherent view of the quality status of the system (integrating the perspectives of all stakeholders) which evolves together with the running systems.,0,"systems, data, security, system, privacy, users, development, computing"
A36,RQ1,Principles and Values,Openness,Living Models is attached with a novel process model focusing on change and change propagation.,4,"process, mining, data, business, provides, bridge, modeling, important"
A36,RQ1,Objective and Motivation,Responding to emerging challenges and opportunities,Service oriented systems in most cases are dynamically evolving systems.,0,"systems, data, security, system, privacy, users, development, computing"
A36,RQ1,Main Guidelines,Develop tools and techniques,We developed this paradigm based on our experience of several years of work in the area of model-driven software development with a focus on security engineering and model-based quality assurance.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A36,RQ1,Impact and Applicability,Establish standards and guidelines,The System Meta Model defines the backbone of the change management process.,4,"process, mining, data, business, provides, bridge, modeling, important"
A36,RQ2,Gaps,Lack of assessment or monitoring of the quality of architecture,Our core idea to meet these challenges is a rigorous use of models to bridge the gap between the domains and the related stakeholders.,4,"process, mining, data, business, provides, bridge, modeling, important"
A36,RQ3,Relationship with SWeBok,Software architecture,The System Meta Model defines the backbone of the change management process.,4,"process, mining, data, business, provides, bridge, modeling, important"
A36,RQ3,Relationship with SWeBok,Software Quality,Living Models provides a coherent view of the quality status of the system (integrating the perspectives of all stakeholders) which evolves together with the running systems.,0,"systems, data, security, system, privacy, users, development, computing"
A37,RQ1,Principles and Values,Artificial intelligence,To judge possible machine support for STEM research and application we need to realize that many services do not require full formalization (as computation and verification do in P1).,2,"research, open, work, future, extent, basic, also, community"
A37,RQ1,Objective and Motivation,Transforming current practices through innovations,We claim that the digitization/OCR effort should be complemented by a flexiformalization effort that makes the DMLs semantically accessible and turns mathematical documents into active documents.,2,"research, open, work, future, extent, basic, also, community"
A37,RQ1,Main Guidelines,Develop tools and techniques,The establishment of a software infrastructure with a distributed network of archives that manage the content commons and collections of semantic documents.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A37,RQ1,Call to Action,Creating a better future,In conclusion we can state that the relaxation of the black-and-white distinction of formality and informality to the flexiformality continuum opens up considerable opportunities for machine support in STEM research and applications.,2,"research, open, work, future, extent, basic, also, community"
A37,RQ2,Gaps,Lack of practical guidelines for implementing principles,Efforts are currently under way to digitize and possibly OCR large parts of the published mathematical literature and turn them into generally accessible 'Digital Mathematical Libraries'.,2,"research, open, work, future, extent, basic, also, community"
A37,RQ2,Gaps,Lack of assessment or monitoring of the quality of architecture,As soon as a larger body of mathematical theories becomes available (by marking up concepts and axioms) we can automatically search for 'views' (aka. representation theorems) that allow to import all the theorems of the source theory into the target theory.,0,"systems, data, security, system, privacy, users, development, computing"
A38,RQ1,Principles and Values,Change,There are many open challenges to be tackled. Both BPM and the IoT will benefit from a wider integration.,2,"research, open, work, future, extent, basic, also, community"
A38,RQ1,Principles and Values,Privacy and Security,Privacy by design: Identify and examine possible data protection problems when designing new technology and incorporate privacy protection into the overall design.,3,"design, principles, community, people, need, thinking, must, patterns"
A38,RQ1,Objective and Motivation,Transforming current practices through innovations,One approach to bridge the gap between IoT data and processes would be to break end-to-end models into microprocesses that represent habits and arrange them in a less prescriptive way.,4,"process, mining, data, business, provides, bridge, modeling, important"
A38,RQ1,Objective and Motivation,Create or improve tools and platforms,The coordinating unit responsible for resource provisioning has advanced knowledge about the future behavior of agents since the agents have to follow their process models and thus can provide resources with greater accuracy.,4,"process, mining, data, business, provides, bridge, modeling, important"
A38,RQ2,Gaps,Lack of evaluation and monitoring of the impact of manifestos,There is a gap between IoT data and concepts at a model level to enable behavior prediction and identify changes in behavior.,0,"systems, data, security, system, privacy, users, development, computing"
A38,RQ2,Gaps,Lack of assessment or monitoring of the quality of architecture,The IoT facilitates deriving situational knowledge when tracking and evaluating data streams.,0,"systems, data, security, system, privacy, users, development, computing"
A38,RQ3,Relationship with SWeBok,Software Quality,Privacy by design: Identify and examine possible data protection problems when designing new technology and incorporate privacy protection into the overall design.,3,"design, principles, community, people, need, thinking, must, patterns"
A38,RQ3,Relationship with SWeBok,Software Security,Privacy levels that exist at the sensor layer might be different with respect to those at the BPM one.,0,"systems, data, security, system, privacy, users, development, computing"
A39,RQ1,Principles and Values,User focus,Transparency and people’s engagement to the business over... monitoring and controlling.,4,"process, mining, data, business, provides, bridge, modeling, important"
A39,RQ1,Principles and Values,Collaboration,We advocate using the AGM meta-principles with a set of meta-values to help teams achieve superior business outcomes.,4,"process, mining, data, business, provides, bridge, modeling, important"
A39,RQ1,Principles and Values,Innovation,Achieving business agility requires finding the right balance in governance and adapting it to suit each organization’s unique conditions and timing.,4,"process, mining, data, business, provides, bridge, modeling, important"
A39,RQ1,Principles and Values,Change,The teams must develop the intrinsic ability to handle change systematically.,3,"design, principles, community, people, need, thinking, must, patterns"
A39,RQ1,Principles and Values,Architecture,The architecture of solutions should focus on optimizing the desired outcomes with the available resources.,0,"systems, data, security, system, privacy, users, development, computing"
A39,RQ1,Objective and Motivation,Transforming current practices through innovations,We exercise the freedom to revisit the discussion of these principles while preserving their fundamental essence.,3,"design, principles, community, people, need, thinking, must, patterns"
A39,RQ1,Objective and Motivation,Solve existing problems and challenges,The level of governance must always be adapted according to the organizational context.,0,"systems, data, security, system, privacy, users, development, computing"
A39,RQ1,Main Guidelines,Promote collaboration and communication,We propose an engaging research agenda encompassing 12 intriguing research lines for future endeavors.,2,"research, open, work, future, extent, basic, also, community"
A39,RQ3,Relationship with SWeBok,Software architecture,The architecture of solutions should focus on optimizing the desired outcomes with the available resources.,0,"systems, data, security, system, privacy, users, development, computing"
A39,RQ3,Relationship with SWeBok,Software Quality,The meta-values emerge as enduring beliefs or ideals shared by team members and stakeholders about what is and is not suitable or appropriate in their attitudes.,4,"process, mining, data, business, provides, bridge, modeling, important"
A39,RQ3,Relationship with SWeBok,Software Engineering Process,Governance must always be adapted according to the organizational context.,0,"systems, data, security, system, privacy, users, development, computing"
A40,RQ1,Call to Action,Adopt practices and principles,It is about developing and applying Generative AI with respect for each person’s rights and dignity to build a world that is better for our collective effort.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A41,RQ1,Main Guidelines,Establish standards and guidelines,Proposal 2: Protection Level Agreement (PLA) is proposed as the section of an agreement that contains security requirements.,0,"systems, data, security, system, privacy, users, development, computing"
A41,RQ1,Impact and Applicability,Ensure security and privacy,The high level security goal of a client is to protect its data and make it available (always and only) to the entitled users.,0,"systems, data, security, system, privacy, users, development, computing"
A41,RQ1,Impact and Applicability,Develop tools and techniques,A monitor system which controls PLA fulfilments should be developed.,0,"systems, data, security, system, privacy, users, development, computing"
A41,RQ1,Call to Action,Adopt practices and principles,Proposal 4: External metrics should be used in PLA negotiations.,0,"systems, data, security, system, privacy, users, development, computing"
A41,RQ2,Gaps,Lack of practical guidelines for implementing principles,There is no such evaluation method for operational security.,0,"systems, data, security, system, privacy, users, development, computing"
A41,RQ2,Gaps,Lack of evaluation and monitoring of the impact of manifestos,Unclear performance and benchmarking metrics are a cause of 56% of outsourcing relationship failure.,0,"systems, data, security, system, privacy, users, development, computing"
A41,RQ2,Gaps,Little attention to the evolution and adaptation of manifestos,In this article we have focused more on technical side of the agreement. One problem that we have left out is the issue of enforcement.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A41,RQ2,Gaps,Lack of assessment or monitoring of the quality of architecture,External metrics can be monitored by a client remotely. For monitoring of internal metrics special techniques should be applied to guarantee that the data may be trusted.,0,"systems, data, security, system, privacy, users, development, computing"
A41,RQ3,Relationship with SWeBok,Software Security,The crucial point in PLA negotiation is identification of metrics which describe the level of protection.,0,"systems, data, security, system, privacy, users, development, computing"
A42,RQ1,Principles and Values,Process improvement,The manifesto for applicable formal methods expresses aims and intentions. We hope it will give crucial impulses to formal methods researchers to implement a modern research agenda for developing formal methods that can arguably be used for critical software engineering research.,2,"research, open, work, future, extent, basic, also, community"
A42,RQ1,Objective and Motivation,Transforming current practices through innovations,Projects such as Ptolemy and AutoFocus can be considered rigorous top-down approaches to constructing seamless toolchains for engineering embedded software.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A42,RQ1,Main Guidelines,Address ethical and social issues,The manifesto strives to foster progress in a currently dissatisfying situation found in the science of formal methods.,2,"research, open, work, future, extent, basic, also, community"
A42,RQ1,Impact and Applicability,Develop tools and techniques,A formal method should come with tool support that prevents users from tedious work steps and helps them focus on essential and creative steps.,0,"systems, data, security, system, privacy, users, development, computing"
A42,RQ2,Gaps,Lack of evaluation and monitoring of the impact of manifestos,Data from across a representative range of samples have never been rigorously measured (e.g. using controlled method experiments).,0,"systems, data, security, system, privacy, users, development, computing"
A43,RQ1,Main Guidelines,Establish standards and guidelines,This comprehensive manifesto brings these advancements together and identifies open challenges that need to be addressed for realising the Future Generation Cloud Computing.,2,"research, open, work, future, extent, basic, also, community"
A43,RQ2,Gaps,Lack of evaluation and monitoring of the impact of manifestos,The manifesto identified the current major challenges in Cloud computing domain and summarised the state of the art along with the limitations.,0,"systems, data, security, system, privacy, users, development, computing"
A43,RQ2,Gaps,Lack of assessment or monitoring of the quality of architecture,Novel research challenges in the area of scheduling will also arise in these decentralised and heterogeneous environments.,2,"research, open, work, future, extent, basic, also, community"
A43,RQ3,Relationship with SWeBok,Software Security,Security is a major concern in ICT systems and Cloud computing is no exception.,0,"systems, data, security, system, privacy, users, development, computing"
A44,RQ1,Principles and Values,User focus,The iSBS track’s goal was to aggregate a large pool of experimental interaction data from a book search portal in order to support data analysis with multilingual and multicultural user groups.,0,"systems, data, security, system, privacy, users, development, computing"
A44,RQ1,Principles and Values,Process improvement,We propose eight principles for improving the re-use of resources in the IIR community and present concrete steps on how to achieve them.,3,"design, principles, community, people, need, thinking, must, patterns"
A44,RQ1,Objective and Motivation,Responding to emerging challenges and opportunities,This perspective paper on resource re-use intends to draw the attention of the interactive information retrieval (IIR) community to the challenges of research documentation and archiving for future use.,2,"research, open, work, future, extent, basic, also, community"
A44,RQ2,Gaps,Lack of practical guidelines for implementing principles,One of the major barriers to optimal re-use of research data is often the lack of contextualization and implicit knowledge transfer.,2,"research, open, work, future, extent, basic, also, community"
A44,RQ2,Gaps,Little attention to the evolution and adaptation of manifestos,No continuity or satisfying re-use practices appear to have been established throughout the years.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A44,RQ3,Relationship with SWeBok,Software Security,Make sure that your data collection practice follows current data protection and privacy regulations such as the General Data Protection Regulation (GDPR) in the European Union.,0,"systems, data, security, system, privacy, users, development, computing"
A45,RQ1,Principles and Values,User focus,User Centred Design (UCD) is an approach that puts the user at the centre of the design process.,3,"design, principles, community, people, need, thinking, must, patterns"
A45,RQ1,Principles and Values,Innovation,This paper presents a collection of ‘ethical by design’ principles for considering ethical aspects in the design and implementation of technology-based products and services.,3,"design, principles, community, people, need, thinking, must, patterns"
A45,RQ1,Objective and Motivation,Transforming current practices through innovations,An ethical by design philosophy was discussed as an advance on the ‘privacy by design’ approach in the specific area of video surveillance.,3,"design, principles, community, people, need, thinking, must, patterns"
A45,RQ1,Main Guidelines,Address ethical and social issues,Actively look for and challenge biases and values that may be reflected in a product or service design.,3,"design, principles, community, people, need, thinking, must, patterns"
A45,RQ1,Main Guidelines,Establish standards and guidelines,Seek to integrate with and support the progression of policy.,3,"design, principles, community, people, need, thinking, must, patterns"
A45,RQ1,Impact and Applicability,Promote collaboration and communication,Support shared decision making and feedback.,2,"research, open, work, future, extent, basic, also, community"
A45,RQ1,Impact and Applicability,Adapt and evolve,Be realistic about what is possible and needed.,2,"research, open, work, future, extent, basic, also, community"
A45,RQ2,Gaps,Little discussion of the social and political implications of technology,It is important that product and service designers and developers understand ethics during systems engineering as there have been many cases where designers and developers have implemented system features that violate ethical norms for the user.,0,"systems, data, security, system, privacy, users, development, computing"
A45,RQ3,Relationship with SWeBok,Software Engineering Professional Practice,Every person has a right to understand the product or service and underlying technology with which he or she engages.,3,"design, principles, community, people, need, thinking, must, patterns"
A46,RQ1,Principles and Values,Openness,Most approaches to merging are intended for merging models expressed in the same notation [...] Some approaches solve the problem of merging heterogeneous notations by first translating them into an underlying unified language and only then merge them.,2,"research, open, work, future, extent, basic, also, community"
A46,RQ1,Objective and Motivation,Transforming current practices through innovations,We present a manifesto for research on model merging. We propose a framework for comparing different approaches to merging.,2,"research, open, work, future, extent, basic, also, community"
A46,RQ1,Main Guidelines,Develop tools and techniques,We propose a unifying framework for understanding the model merging problem. Our intent is to facilitate comparison and extension of existing approaches.,2,"research, open, work, future, extent, basic, also, community"
A46,RQ2,Gaps,Lack of assessment or monitoring of the quality of architecture,We do not assume any particular semantics for our structural models. Check-property depends on domain semantics and is not addressed in our work.,2,"research, open, work, future, extent, basic, also, community"
A47,RQ1,Objective and Motivation,Transforming current practices through innovations,We advocate for a paradigm shift in how data management systems are designed.,0,"systems, data, security, system, privacy, users, development, computing"
A47,RQ2,Gaps,Lack of assessment or monitoring of the quality of architecture,Developing components in a way that they can be shared and reused across different projects is a challenging task.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A47,RQ3,Relationship with SWeBok,Software Engineering Process,The rapid evolution of user workloads has driven the development of hundreds of specialized data management systems.,0,"systems, data, security, system, privacy, users, development, computing"
A48,RQ1,Principles and Values,Openness,Our vision is a world with software-centric middlebox implementations running on general-purpose hardware platforms that are managed via open and extensible management APIs.,2,"research, open, work, future, extent, basic, also, community"
A48,RQ1,Main Guidelines,Develop tools and techniques,We proceed to explore the unique opportunities and challenges that arise in combining these strategies and applying them in the context of middleboxes.,2,"research, open, work, future, extent, basic, also, community"
A48,RQ1,Impact and Applicability,Adopt new technologies and approaches,Software-based solutions reduce the cost and development cycles to build and deploy new middlebox applications.,0,"systems, data, security, system, privacy, users, development, computing"
A48,RQ1,Call to Action,Collaborate and share,An open question in this regard is whether our proposed configuration parameters are either complete or minimal.,2,"research, open, work, future, extent, basic, also, community"
A48,RQ2,Gaps,Lack of integration between different areas of software engineering,Today each application runs on separate hardware and each device must be provisioned to handle a peak load.,0,"systems, data, security, system, privacy, users, development, computing"
A48,RQ2,Gaps,Lack of assessment or monitoring of the quality of architecture,The challenge here is to find a practical relaxation that is both tractable and near-optimal.,2,"research, open, work, future, extent, basic, also, community"
A48,RQ3,Relationship with SWeBok,Software Security,Administrators indicated that middleboxes represent a significant fraction of their (network) capital expenses and expressed the belief that processing complexity necessitates expensive hardware capabilities which contributes to the high capital costs associated with such appliances.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A49,RQ1,Principles and Values,User focus,Faulty software contributes to the unreliability of the products in which it is embedded and is a source of significant recurring costs and delivery delays.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A49,RQ1,Principles and Values,Openness,The open source movement shows the power of collective idealism in the development of high-quality software.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A49,RQ1,Principles and Values,Change,We anticipate that all these trends will continue.,0,"systems, data, security, system, privacy, users, development, computing"
A49,RQ1,Objective and Motivation,Responding to emerging challenges and opportunities,We propose an ambitious and long-term research program toward the construction of error-free software systems.,2,"research, open, work, future, extent, basic, also, community"
A49,RQ1,Objective and Motivation,Criticism of the current situation and the need for cultural change,The reliability of software is too important to be left to chance and good intentions.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A49,RQ1,Call to Action,Collaborate and share,Collaboration is also required to deal with research challenges that are growing beyond the capabilities of single scientists and research teams.,2,"research, open, work, future, extent, basic, also, community"
A49,RQ2,Gaps,Lack of integration between different areas of software engineering,The lack of collaboration with other areas of computing is also a current weakness.,2,"research, open, work, future, extent, basic, also, community"
A49,RQ3,Relationship with SWeBok,Software Quality,Current estimates of the cost of software error to the economies of the world are in the region of a hundred billion dollars per year.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A50,RQ1,Principles and Values,Process improvement,Continuous exposure to faults and automatic fixing is the primary measure.,2,"research, open, work, future, extent, basic, also, community"
A50,RQ1,Principles and Values,Change,We welcome changing scenarios where unexpected events (Black Swans) are the real paradigm shifting entities.,0,"systems, data, security, system, privacy, users, development, computing"
A50,RQ1,Principles and Values,Privacy and Security,We deliver assuring embedded and adaptive fault tolerance.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A50,RQ1,Principles and Values,Sustainability,An antifragile organization promotes a context-aware environment.,0,"systems, data, security, system, privacy, users, development, computing"
A50,RQ1,Objective and Motivation,Responding to emerging challenges and opportunities,A large mission critical organization like NASA is actively trying to adopt Antifragility within its organization and systems.,0,"systems, data, security, system, privacy, users, development, computing"
A50,RQ1,Objective and Motivation,Transforming current practices through innovations,This paper proposes a Manifesto for antifragile software both to systematize the knowledge acquired and to start developing a common framework for Antifragility.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A50,RQ1,Objective and Motivation,Criticism of the current situation and the need for cultural change,We suggest that Antifragile can be seen as an extreme way of doing Agile.,4,"process, mining, data, business, provides, bridge, modeling, important"
A50,RQ1,Objective and Motivation,Create or improve tools and platforms,We are proposing a framework to let people discuss about the principles of designing antifragile software.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A50,RQ1,Main Guidelines,Address ethical and social issues,Errors are the primary source of an antifragile system. They shape the system letting it become antifragile.,0,"systems, data, security, system, privacy, users, development, computing"
A50,RQ1,Impact and Applicability,Ensure security and privacy,We deliver assuring embedded and adaptive fault tolerance.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A50,RQ2,Gaps,Lack of evaluation and monitoring of the impact of manifestos,This Manifesto does not want to be a fixed and complete set of principles. It is an open contribution to the discussion which needs to be improved and re-elaborated.,3,"design, principles, community, people, need, thinking, must, patterns"
A50,RQ2,Gaps,Little attention to the evolution and adaptation of manifestos,We hope to get some consensus in this proposal to start outlining a software Antifragility development methodology.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A50,RQ3,Relationship with SWeBok,Software Security,We deliver assuring embedded and adaptive fault tolerance.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A51,RQ1,Principles and Values,User focus,Users: Demand that the software you use embraces all the principles mentioned.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A51,RQ1,Principles and Values,Collaboration,This is the result of the discussion and different viewpoints of academia and industry practitioners who joined at the first International Workshop on QuANtum SoftWare Engineering & pRogramming (QANSWER).,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A51,RQ1,Principles and Values,Openness,QSE is agnostic regarding quantum programming languages and technologies.,3,"design, principles, community, people, need, thinking, must, patterns"
A51,RQ1,Principles and Values,Process improvement,QSE assures the quality of quantum software. Quality management for both process and product are essential if quantum software with expected quality levels is to be produced.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A51,RQ1,Principles and Values,Artificial intelligence,Quantum computers attempt to use various 'counterintuitive' principles such as superposition and entanglement in the effort to provide faster computing speed.,3,"design, principles, community, people, need, thinking, must, patterns"
A51,RQ1,Principles and Values,Privacy and Security,QSE addresses security and privacy by design. Quantum information systems must be secure and guarantee the privacy of data and of users.,0,"systems, data, security, system, privacy, users, development, computing"
A51,RQ1,Principles and Values,Architecture,QSE promotes quantum software reuse. The study of design and architectural patterns for quantum programs must be addressed.,3,"design, principles, community, people, need, thinking, must, patterns"
A51,RQ1,Objective and Motivation,Responding to emerging challenges and opportunities,We recognize that there is a rapidly-increasing awareness of the need for quantum computing applications.,3,"design, principles, community, people, need, thinking, must, patterns"
A51,RQ1,Objective and Motivation,Transforming current practices through innovations,Methodologies for developing quantum programs must be created or adapted from the existing ones.,3,"design, principles, community, people, need, thinking, must, patterns"
A51,RQ1,Objective and Motivation,Criticism of the current situation and the need for cultural change,We feel that the time has come to take care of producing quantum software by applying knowledge and lessons learned from the software engineering field.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A51,RQ1,Objective and Motivation,Solve existing problems and challenges,Quantum software evolution must be handled throughout the whole quantum software lifecycle.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A51,RQ1,Main Guidelines,Develop tools and techniques,The study of design and architectural patterns for quantum programs must be addressed.,3,"design, principles, community, people, need, thinking, must, patterns"
A51,RQ1,Main Guidelines,Share knowledge,Researchers: Identify research questions in your field that can help us to better understand quantum software engineering. Discuss these with your peers.,2,"research, open, work, future, extent, basic, also, community"
A51,RQ1,Impact and Applicability,Consider context and application,QSE assures the quality of quantum software. Quality management for both process and product are essential.,4,"process, mining, data, business, provides, bridge, modeling, important"
A51,RQ2,Gaps,Lack of practical guidelines for implementing principles,Methodologies for developing quantum programs must be created or adapted from the existing ones.,3,"design, principles, community, people, need, thinking, must, patterns"
A51,RQ2,Gaps,Lack of evaluation and monitoring of the impact of manifestos,New metrics for quantum programs and quantum processes have to be developed.,3,"design, principles, community, people, need, thinking, must, patterns"
A51,RQ3,Relationship with SWeBok,Software architecture,The study of design and architectural patterns for quantum programs must be addressed.,3,"design, principles, community, people, need, thinking, must, patterns"
A51,RQ3,Relationship with SWeBok,Software Quality,QSE assures the quality of quantum software. Quality management for both process and product are essential.,4,"process, mining, data, business, provides, bridge, modeling, important"
A51,RQ3,Relationship with SWeBok,Software Security,QSE addresses security and privacy by design. Quantum information systems must be secure and guarantee the privacy of data and of users.,0,"systems, data, security, system, privacy, users, development, computing"
A52,RQ1,Principles and Values,Innovation,Developing theoretically sound methodologies should be high in the UX research agenda.,2,"research, open, work, future, extent, basic, also, community"
A52,RQ1,Principles and Values,Openness,The UX manifesto can become a reference model for future work on UX.,2,"research, open, work, future, extent, basic, also, community"
A52,RQ1,Objective and Motivation,Responding to emerging challenges and opportunities,Is the research and practice on User Experience (UX) maturing since it has popularized the HCI community and the industry more than a decade ago?,2,"research, open, work, future, extent, basic, also, community"
A52,RQ1,Objective and Motivation,Transforming current practices through innovations,Questions like 'How to design for UX?' and 'How to evaluate UX?' are easy to ask but difficult to answer.,3,"design, principles, community, people, need, thinking, must, patterns"
A52,RQ1,Objective and Motivation,Criticism of the current situation and the need for cultural change,There are critics that UX is only used as a marketing slogan.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A52,RQ1,Impact and Applicability,Adapt and evolve,Integrating the advantages of both approaches rather than treating them as mutually exclusive is the challenge of future UX theorizing.,2,"research, open, work, future, extent, basic, also, community"
A52,RQ2,Gaps,Lack of evaluation and monitoring of the impact of manifestos,Theoretically UX is incoherent; methodologically UX is not yet mature either.,2,"research, open, work, future, extent, basic, also, community"
A52,RQ2,Gaps,Lack of integration between different areas of software engineering,The link between UX and software engineering lies in the definition of quality models that address a mesh of functional and non-functional quality factors.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A52,RQ3,Relationship with SWeBok,Software architecture,The link between UX and software engineering lies in the definition of quality models that address a mesh of functional and non-functional quality factors.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A53,RQ1,Principles and Values,Ethics and Responsibility,Trust is the currency that fuels agile urban societies.,4,"process, mining, data, business, provides, bridge, modeling, important"
A53,RQ1,Main Guidelines,Promote collaboration and communication,Tighter connections shift our social operating system from an orientation of the individual to the power of peers in collaboration.,0,"systems, data, security, system, privacy, users, development, computing"
A54,RQ1,Principles and Values,Collaboration,Using many readers in place of a few referees can be viewed as a form of crowdsourcing.,2,"research, open, work, future, extent, basic, also, community"
A54,RQ1,Principles and Values,Ethics and Responsibility,Being a good reader (referee) is an evolutionarily stable strategy.,3,"design, principles, community, people, need, thinking, must, patterns"
A54,RQ1,Objective and Motivation,Responding to emerging challenges and opportunities,We are going to run out of good referees.,3,"design, principles, community, people, need, thinking, must, patterns"
A54,RQ1,Objective and Motivation,Create or improve tools and platforms,A Firefox plugin will also be available to allow readers to express their judgments without connecting to the Readersourcing Web site.,3,"design, principles, community, people, need, thinking, must, patterns"
A54,RQ1,Main Guidelines,Establish standards and guidelines,The last piece of the puzzle is to define what a right judgment is.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A54,RQ1,Main Guidelines,Address ethical and social issues,A last problem is social acceptance: Will scholars spend time to express judgments? Will they accept an 'objective' score?,3,"design, principles, community, people, need, thinking, must, patterns"
A54,RQ1,Impact and Applicability,Promote collaboration and communication,Using many readers in place of a few referees can be viewed as a form of crowdsourcing.,2,"research, open, work, future, extent, basic, also, community"
A54,RQ1,Impact and Applicability,Adapt and evolve,It is also easy to imagine Readersourcing as coexisting with peer review.,2,"research, open, work, future, extent, basic, also, community"
A54,RQ2,Gaps,Lack of evaluation and monitoring of the impact of manifestos,A last problem is social acceptance: Will scholars spend time to express judgments? Will they accept an 'objective' score?,3,"design, principles, community, people, need, thinking, must, patterns"
A54,RQ3,Relationship with SWeBok,Software Engineering Professional Practice,A last problem is social acceptance: Will scholars spend time to express judgments? Will they accept an 'objective' score?,3,"design, principles, community, people, need, thinking, must, patterns"
A55,RQ1,Principles and Values,Collaboration,The modern organisation paradigm is a change from experts solving problems and trying to force change on organisations to the organisation’s people solving problems and changing the organisation together.,4,"process, mining, data, business, provides, bridge, modeling, important"
A55,RQ1,Principles and Values,Process improvement,SPI is a tool to improve the competitiveness of organisations.,4,"process, mining, data, business, provides, bridge, modeling, important"
A55,RQ1,Principles and Values,Privacy and Security,Ensure all parties understand and agree on process.,4,"process, mining, data, business, provides, bridge, modeling, important"
A55,RQ1,Objective and Motivation,Solve existing problems and challenges,We truly believe that SPI must involve people actively and affect their daily activities.,3,"design, principles, community, people, need, thinking, must, patterns"
A55,RQ1,Main Guidelines,Promote collaboration and communication,Use today’s implemented processes as an agreed baseline for process improvements.,4,"process, mining, data, business, provides, bridge, modeling, important"
A55,RQ1,Impact and Applicability,Establish standards and guidelines,Process improvements constantly challenge the models and process descriptions. They are to be continuously optimised to reflect the state-of-the-practice in the organisation.,4,"process, mining, data, business, provides, bridge, modeling, important"
A55,RQ2,Gaps,Lack of evaluation and monitoring of the impact of manifestos,The biggest risk in a SPI project is the complete lack of risk management.,4,"process, mining, data, business, provides, bridge, modeling, important"
A55,RQ2,Gaps,Little attention to the evolution and adaptation of manifestos,If they get petrified – process improvement may grind to a halt.,4,"process, mining, data, business, provides, bridge, modeling, important"
A55,RQ3,Relationship with SWeBok,Software Engineering Process,Better processes equal more money and better business.,4,"process, mining, data, business, provides, bridge, modeling, important"
A56,RQ1,Principles and Values,Change,One trend in this learning curve is that every member of an organisation now performs tasks formerly performed by experts. (p.403),4,"process, mining, data, business, provides, bridge, modeling, important"
A56,RQ1,Objective and Motivation,Criticism of the current situation and the need for cultural change,However – compared to the agile manifesto – the SPI Manifesto is something for expert clubs and did not have real impact. (p.401),4,"process, mining, data, business, provides, bridge, modeling, important"
A56,RQ1,Objective and Motivation,Solve existing problems and challenges,It was the process bureaucracy caused by the CMMI driven SEPG. It was a 'no' to ivory towers where unsuccessful project managers and clueless beginners met in order to define the software development and testing processes of an organisation. (p.401),4,"process, mining, data, business, provides, bridge, modeling, important"
A56,RQ1,Main Guidelines,Promote collaboration and communication,The issue of team vs organisation focus is unsolved and subject to debate. (p.405),0,"systems, data, security, system, privacy, users, development, computing"
A56,RQ1,Impact and Applicability,Establish standards and guidelines,German OEM challenge their suppliers to fulfill Automotive SPICE® Requirements while RWS uses ISO/IEC 15504 Part 6:2013 – Systems engineering. (p.407),0,"systems, data, security, system, privacy, users, development, computing"
A57,RQ1,Principles and Values,Process improvement,We have also gone on to introspect about these solutions to ask ourselves why they are good solutions and what is the underlying test automation principle that they uphold? ,3,"design, principles, community, people, need, thinking, must, patterns"
